idx,type,first,second,third,fourth,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
17,INFJ,I,N,F,J,0.05753548776804591,0.013138024765931743,0.014195107218363033,0.026276049531863487,0.09317426759287224,0.015403201449713078,0.014346118997281788,0.03790395650860767,0.04273633343400785,0.001359106010268801,0.007097553609181516,0.03156146179401993,0.023708849290244638,0.04953186348535186,0.06357595892479613,0.013440048323769254,0.00015101177891875566,0.038508003624282694,0.040169133192389,0.06342494714587738,0.020386590154032016,0.008456659619450317,0.017215342796738146,0.0024161884627000906,0.023104802174569616,0.000906070673512534
18,INFP,I,N,F,P,0.058393023980068515,0.007785736530675802,0.01697290563687325,0.024447212706322018,0.0805045157271878,0.015104328869511055,0.015260043600124572,0.03488009965742759,0.055590158829025224,0.0029585798816568047,0.008720024914356897,0.03955154157583307,0.018374338212394894,0.049517284335098104,0.06275303643724696,0.01339146683276238,0.0004671441918405481,0.03550295857988166,0.046091560261600745,0.07303020865773902,0.02320149486141389,0.007007162877608222,0.01775147928994083,0.0010900031142946122,0.02242292120834631,0.0006228589224540642
19,INTJ,I,N,T,J,0.05847585513078471,0.010814889336016096,0.02175553319919517,0.022132796780684104,0.08878269617706237,0.01295271629778672,0.011443661971830986,0.03370221327967807,0.0602364185110664,0.0006287726358148893,0.005784708249496982,0.029552313883299798,0.0164738430583501,0.045900402414486924,0.057721327967806844,0.01119215291750503,0.0007545271629778672,0.04137323943661972,0.051056338028169015,0.05973340040241449,0.024396378269617706,0.011443661971830986,0.00993460764587525,0.002012072434607646,0.01659959758551308,0.00025150905432595576
20,INFP,I,N,F,P,0.05609655739953367,0.01124674255931971,0.019064600192017556,0.023727883692223287,0.08421341379783294,0.015361404471265945,0.01522424907420107,0.031545741324921134,0.051570429296392814,0.002194486353037992,0.008366479220957344,0.034563160060348375,0.022904951309834044,0.051296118502263066,0.05938828692909066,0.01220683033877383,0.0009600877794541216,0.04169524070772185,0.046769990399122205,0.06706898916472363,0.023042106706898918,0.00850363461802222,0.01591002605952544,0.0015087093677136195,0.01824166780962831,0.001371553970648745
21,ENTP,E,N,T,P,0.056338028169014086,0.011549295774647887,0.011549295774647887,0.022816901408450704,0.08788732394366197,0.014647887323943662,0.016338028169014085,0.036619718309859155,0.04338028169014085,0.0011267605633802818,0.009859154929577466,0.03267605633802817,0.012112676056338029,0.045352112676056336,0.06619718309859154,0.008450704225352112,0.0005633802816901409,0.03690140845070423,0.048450704225352116,0.06845070422535211,0.0276056338028169,0.009295774647887323,0.008732394366197183,0.0008450704225352113,0.022535211267605635,0.0005633802816901409
22,ISFP,I,S,F,P,0.04683806146572104,0.012263593380614658,0.014036643026004728,0.02157210401891253,0.07535460992907801,0.014627659574468085,0.0192080378250591,0.03102836879432624,0.04092789598108747,0.0032505910165484633,0.007535460992907801,0.02763002364066194,0.020833333333333332,0.047724586288416075,0.057180851063829786,0.016105200945626476,0.0004432624113475177,0.0357565011820331,0.03959810874704492,0.0666371158392435,0.022458628841607566,0.007978723404255319,0.017287234042553192,0.0019208037825059101,0.018764775413711583,0.0010342789598108747
23,INFJ,I,N,F,J,0.05800770500825537,0.013648871766648321,0.012658227848101266,0.022894881673087508,0.08167308750687947,0.013208585580627407,0.015520088057237204,0.03885525591634562,0.04711062190423775,0.0024215740231150248,0.0089157952669235,0.03632361034672537,0.017611447440836543,0.04810126582278481,0.06042927903137039,0.012548156301596038,0.000550357732526142,0.031150247660979638,0.04314804623004953,0.07528893780957623,0.026527242707760045,0.008585580627407816,0.015960374243258118,0.0017611447440836544,0.02476609796367639,0.0003302146395156852
24,ENFJ,E,N,F,J,0.05299188640973631,0.01039553752535497,0.011282961460446248,0.022565922920892496,0.07492393509127789,0.012550709939148074,0.015973630831643004,0.034609533468559835,0.045892494929006086,0.002281947261663286,0.008874239350912779,0.032327586206896554,0.019903651115618662,0.045892494929006086,0.06427484787018256,0.013945233265720081,0.00038032454361054766,0.03220081135902637,0.038666328600405676,0.06896551724137931,0.02383367139959432,0.007226166328600406,0.01686105476673428,0.0007606490872210953,0.020917849898580122,0.00038032454361054766
25,INFJ,I,N,F,J,0.049856967715570084,0.010352812968260456,0.018389865140988965,0.026426917313717477,0.09099577714207874,0.018934750034055307,0.014984334559324342,0.034600190709712576,0.04917586159923716,0.0014984334559324344,0.005040185260863642,0.029015120555782592,0.023838714071652365,0.049312082822503746,0.052581392180901784,0.014030785996458248,0.0014984334559324344,0.03596240294237842,0.04631521591063888,0.06211687780956273,0.02179539572265359,0.009535485628660946,0.017300095354856288,0.002179539572265359,0.021931616945920173,0.0
26,INFP,I,N,F,P,0.05547034764826176,0.010736196319018405,0.015976482617586912,0.022367075664621677,0.08908486707566463,0.016615541922290387,0.015465235173824131,0.0354038854805726,0.050485685071574644,0.0008946830265848671,0.0072852760736196315,0.032208588957055216,0.0190439672801636,0.04792944785276074,0.05789877300613497,0.012142126789366053,0.001278118609406953,0.03450920245398773,0.046395705521472395,0.0679959100204499,0.024539877300613498,0.008307770961145194,0.016998977505112475,0.001278118609406953,0.017382413087934562,0.0001278118609406953
27,ISFJ,I,S,F,J,0.06382153249272551,0.009505334626576139,0.015324927255092144,0.024442289039767216,0.0967992240543162,0.009893307468477207,0.017264791464597477,0.03918525703200776,0.03724539282250242,0.002521823472356935,0.007565470417070805,0.03976721629485936,0.022114451988360814,0.05140640155189137,0.06052376333656644,0.009505334626576139,0.0003879728419010669,0.03491755577109602,0.03588748787584869,0.06188166828322018,0.02463627546071775,0.007565470417070805,0.012997090203685741,0.00019398642095053346,0.02250242483026188,0.0
28,INTP,I,N,T,P,0.05231169958758411,0.010093336227479922,0.017907532016496634,0.024962014326025614,0.08704145864988061,0.016713696548730193,0.014000434121988278,0.035706533535923596,0.049381376166702844,0.000759713479487736,0.008031256783156067,0.03375298458866942,0.021706099413935316,0.049706967657911875,0.05904059040590406,0.012915129151291513,0.0005426524853483829,0.040156283915780334,0.04797047970479705,0.06587801172129368,0.02257434339049273,0.008682439765574127,0.01302365964836119,0.0014108964619057955,0.02094638593444758,0.0011938354677664424
29,ISFP,I,S,F,P,0.05558651434940095,0.012398996935079409,0.016717748676511563,0.02354416271942045,0.08317079966564503,0.012259682362775146,0.015463917525773196,0.03078852047924213,0.04667038172192811,0.0018110894399554194,0.007522986904430203,0.0331568682084146,0.021315129562552243,0.0470883254388409,0.05335748119253274,0.01100585121203678,0.00027862914460852607,0.03775424909445528,0.042212315408191696,0.06533853441069935,0.024937308442463082,0.009055447199777097,0.01379214265812204,0.0006965728615213151,0.019921983839509612,0.00013931457230426304
30,ENFP,E,N,F,P,0.056678281068524974,0.013588850174216028,0.014169570267131244,0.027642276422764227,0.08734030197444832,0.014518002322880372,0.015911730545876888,0.03554006968641115,0.052148664343786295,0.0013937282229965157,0.007317073170731708,0.030894308943089432,0.021718931475029037,0.049477351916376304,0.05586527293844367,0.011846689895470384,0.0006968641114982578,0.033797909407665506,0.045412311265969806,0.06713124274099884,0.024041811846689895,0.009059233449477353,0.013472706155632985,0.0017421602787456446,0.019628339140534263,0.00023228803716608595
31,ENTJ,E,N,T,J,0.0523990860624524,0.013709063214013708,0.02025894897182026,0.025894897182025894,0.07905559786747905,0.014013709063214013,0.016603198781416605,0.032597105864432596,0.047677075399847675,0.002894135567402894,0.008682406702208682,0.02757044935262757,0.01904036557501904,0.05133282559025133,0.062452399086062454,0.014927646610814927,0.0010662604722010663,0.035186595582635184,0.040822543792840824,0.06976389946686977,0.02680883472962681,0.00654988575780655,0.013404417364813405,0.0012185833968012185,0.02025894897182026,0.0
32,INTP,I,N,T,P,0.05440682346859654,0.011889377100025847,0.015895580253295426,0.02907728095115017,0.08568105453605583,0.013827862496769192,0.016412509692426983,0.03954510209356423,0.045102093564228486,0.0007753941586973378,0.009821659343499612,0.032825019384853965,0.019772551046782116,0.04704057896097183,0.06345308865339881,0.011889377100025847,0.0002584647195657793,0.03230808994572241,0.041612819850090466,0.07288705091754975,0.022357198242439907,0.008270871026104937,0.01822176272938744,0.001033858878263117,0.018609459808736108,0.0007753941586973378
33,INFJ,I,N,F,J,0.056914449349719606,0.010261305333492423,0.015630593007994274,0.02422145328719723,0.0822097601718172,0.013244242930437895,0.015749910511872092,0.03973272879131368,0.050590621644195206,0.0007159050232669132,0.007159050232669132,0.031499821023744184,0.0189714831165732,0.0486815415821501,0.06025533945829853,0.014795370480849541,0.00011931750387781887,0.03806228373702422,0.044863381458059896,0.06311895955136619,0.023147595752296864,0.00859086027920296,0.015153322992482997,0.0013124925426560075,0.022789643240663404,0.0007159050232669132
34,INTP,I,N,T,P,0.047963206307490146,0.008705650459921156,0.016918528252299607,0.022996057818659658,0.08327858081471748,0.01461892247043364,0.01757555847568988,0.03597240473061761,0.04681340341655716,0.0019710906701708277,0.007063074901445467,0.0328515111695138,0.023160315374507228,0.04517082785808147,0.06077529566360053,0.016754270696452037,0.000657030223390276,0.04385676741130092,0.04139290407358739,0.06685282522996058,0.02447437582128778,0.007720105124835742,0.01626149802890933,0.001478318002628121,0.018561103810775297,0.000657030223390276
35,INTJ,I,N,T,J,0.05402605091770278,0.009769094138543518,0.015689757252812315,0.021758436944937832,0.08362936648904677,0.014949674363528715,0.016577856719952634,0.03833629366489047,0.044256956779159265,0.0017761989342806395,0.007548845470692718,0.027235050325636473,0.020722320899940794,0.04262877442273535,0.056838365896980464,0.013173475429248075,0.0011841326228537595,0.04026050917702783,0.04470100651272942,0.05905861456483126,0.023830669034931914,0.009621077560686798,0.013173475429248075,0.0007400828892835998,0.015689757252812315,0.0005920663114268798
36,ISTJ,I,S,T,J,0.0556734693877551,0.011591836734693878,0.016653061224489795,0.024816326530612245,0.09012244897959183,0.014693877551020407,0.013061224489795919,0.037714285714285714,0.04930612244897959,0.0008163265306122449,0.007346938775510204,0.030693877551020408,0.023510204081632652,0.04669387755102041,0.059918367346938776,0.01289795918367347,0.0009795918367346938,0.03428571428571429,0.03836734693877551,0.06824489795918368,0.02416326530612245,0.007510204081632653,0.017306122448979593,0.00032653061224489796,0.022040816326530613,0.0
37,ISFP,I,S,F,P,0.05456435129049021,0.012298631560713667,0.0169755759570414,0.024250822795773428,0.08643686125064957,0.016802355794214446,0.0169755759570414,0.03343149142560194,0.04780876494023904,0.0006928806513078123,0.01125931058375195,0.03117962930885155,0.024077602632946477,0.045210462497834746,0.05456435129049021,0.013684392863329292,0.00034644032565390613,0.037588775333448815,0.04122639875281483,0.0594145158496449,0.022865061493157805,0.007102026675905075,0.01472371384029101,0.0013857613026156245,0.016629135631387494,0.0010393209769617184
38,ENFP,E,N,F,P,0.05631720430107527,0.010752688172043012,0.018145161290322582,0.018548387096774192,0.07782258064516129,0.012903225806451613,0.018413978494623656,0.04099462365591398,0.05672043010752688,0.0020161290322580645,0.008602150537634409,0.040188172043010756,0.022446236559139784,0.0456989247311828,0.048252688172043014,0.0114247311827957,0.001075268817204301,0.03239247311827957,0.041935483870967745,0.07365591397849462,0.03024193548387097,0.005779569892473118,0.01827956989247312,0.0012096774193548388,0.020833333333333332,0.0032258064516129032
39,INFJ,I,N,F,J,0.05600297360921819,0.01090323380002478,0.015239747243216454,0.02539957873869409,0.08524346425473919,0.014248544170486929,0.018708957997769792,0.034196506009168626,0.04745384710692603,0.0008673026886383347,0.005699417668194771,0.03432040639325982,0.018708957997769792,0.0465865444182877,0.06021558666831867,0.01263783917730145,0.0004956015363647627,0.036798414075083635,0.04348903481600793,0.06851691240242845,0.022178168752323132,0.008796927270474538,0.015363647627307644,0.0012390038409119068,0.01846115722958741,0.00024780076818238137
40,ENFP,E,N,F,P,0.055162002090349556,0.008129137150156776,0.015329230054581349,0.02787132737196609,0.0865172453838114,0.013471141563116943,0.01834862385321101,0.033213331784926255,0.053768435721751245,0.0006967831842991523,0.00627104865869237,0.033213331784926255,0.020438973406108465,0.05040065033097201,0.058878179073278365,0.013703402624549995,0.0005806526535826269,0.0398327720357682,0.04680060387875973,0.06526535826268726,0.0224131924282894,0.009406572988038556,0.013355011032400417,0.00150969689931483,0.02009058181395889,0.0005806526535826269
41,INTJ,I,N,T,J,0.05397403780460032,0.011956274197221589,0.014119790480528353,0.025165110453199725,0.08984286039626509,0.014005921202459576,0.014803006148941016,0.03120018219084491,0.051924390799362334,0.0002277385561375541,0.0056934639034388525,0.025962195399681167,0.022432247779549077,0.04930539740378046,0.056137554087907084,0.013892051924390799,0.0010248235026189933,0.03905716237759053,0.04884992029150535,0.06205875654748349,0.0223183785014803,0.010931450694602596,0.01423365975859713,0.0013664313368253246,0.022546117057617856,0.0004554771122751082
42,INTJ,I,N,T,J,0.05599273607748184,0.011803874092009685,0.015284503631961259,0.021791767554479417,0.08277845036319613,0.014830508474576272,0.01679782082324455,0.04025423728813559,0.04509685230024213,0.0018159806295399517,0.00847457627118644,0.03677360774818402,0.01770581113801453,0.0475181598062954,0.06794794188861986,0.011803874092009685,0.0004539951573849879,0.03556295399515739,0.039800242130750604,0.07097457627118645,0.02754237288135593,0.008020581113801453,0.017554479418886198,0.0013619854721549636,0.022548426150121065,0.0001513317191283293
43,INFJ,I,N,F,J,0.05817782656421515,0.009147457006952067,0.01500182949140139,0.021831930723258935,0.08269301134284669,0.012806439809732895,0.016343456519087692,0.03756555677521649,0.05781192828393707,0.0018294914013904135,0.010001219660934261,0.03744359068179046,0.021709964629832906,0.042810098792535674,0.053299182827174045,0.010001219660934261,0.0010976948408342481,0.031833150384193196,0.04256616660568362,0.06512989388949872,0.02292962556409318,0.007927796072691791,0.016221490425661667,0.0007317965605561653,0.01597755823880961,0.00024393218685205513
44,ISFP,I,S,F,P,0.06139551830934596,0.01439242120604846,0.017307341956640555,0.02842047731827291,0.07797413007833849,0.01785388959737657,0.014938968846784478,0.033339406084897064,0.06048460557478594,0.004008016032064128,0.011841865549280378,0.038622699945345236,0.022955000910912734,0.04846055747859355,0.05538349426124977,0.008562579704864274,0.00018218254691200583,0.03807615230460922,0.0437238112588814,0.06631444707597012,0.021679723082528694,0.012024048096192385,0.01621424667516852,0.0018218254691200583,0.022590635817088724,0.0009109127345600292
45,ENFJ,E,N,F,J,0.061703360370799536,0.010428736964078795,0.012456546929316338,0.02694090382387022,0.09298957126303592,0.01738122827346466,0.014484356894553883,0.033314020857473925,0.06199304750869061,0.002317497103128621,0.010139049826187718,0.036210892236384705,0.019698725376593278,0.056778679026651215,0.06662804171494785,0.018829663962920046,0.0,0.03186558516801854,0.047508690614136734,0.0686558516801854,0.021436848203939745,0.01100811123986095,0.016512166859791424,0.0011587485515643105,0.022885283893395135,0.0005793742757821553
46,INTP,I,N,T,P,0.05208610151474887,0.012755779962795642,0.0231198511825671,0.021392505979271857,0.0815838426787138,0.01488174328992825,0.012622907254849854,0.03441403135795908,0.0451767207015679,0.001993090619186819,0.006510762689343609,0.033749667818230134,0.021392505979271857,0.04212064841881478,0.051820356098857295,0.013287270794578794,0.0011958543715120914,0.03614137656125432,0.04251926654265214,0.07002391708743025,0.02511294180175392,0.008238107892638851,0.01860217911241031,0.0014615997874036673,0.020063778899813978,0.0009301089556205156
47,INFP,I,N,F,P,0.05259388110099253,0.009413690780722399,0.014222858896961016,0.02056686790136089,0.08165353525017907,0.016166990688631946,0.016473958866264196,0.03397114499130257,0.05515194924792796,0.0010232272587741738,0.008799754425457895,0.030696817763225213,0.02056686790136089,0.05116136293870869,0.062212217333469766,0.013711245267573929,0.0010232272587741738,0.03622224496060575,0.05116136293870869,0.06865854906374706,0.028343395068044612,0.006753299907909547,0.014632149800470685,0.001637163614038678,0.018418090657935128,0.00020464545175483476
48,INFJ,I,N,F,J,0.04688672168042011,0.012128032008002,0.01587896974243561,0.023255813953488372,0.07839459864966242,0.012378094523630907,0.015253813453363341,0.03600900225056264,0.03900975243810953,0.002500625156289072,0.008252063015753939,0.0293823455863966,0.021255313828457113,0.046511627906976744,0.05901475368842211,0.013378344586146536,0.00037509377344336085,0.03225806451612903,0.04376094023505876,0.07364341085271318,0.024381095273818456,0.007626906726681671,0.014628657164291074,0.0018754688672168042,0.020005001250312578,0.0005001250312578145
49,INTJ,I,N,T,J,0.05660377358490566,0.011700221355539159,0.01675977653631285,0.021081479919890376,0.0918098450511226,0.015916517339517235,0.016970591335511754,0.03699799725940761,0.05091177400653526,0.0013702961947928746,0.006113629176768209,0.03214925687783282,0.0225571835142827,0.05175503320333087,0.058079477179297984,0.014546221144724359,0.00031622219879835566,0.03868451565299884,0.046063033624960475,0.07757984610519658,0.02403288710867503,0.008221777168757247,0.013808369347528196,0.0007378517971961631,0.0225571835142827,0.00031622219879835566
50,ENFP,E,N,F,P,0.053615812522191976,0.009586933364895254,0.013611078234110546,0.02473665522547047,0.08237661261687773,0.014321221446325009,0.014557935850396497,0.03680908983311634,0.048053024026512015,0.0016570008285004142,0.0068647177180731446,0.02899751449875725,0.02177772517457687,0.04888152444076222,0.05929695821990768,0.017043437093147117,0.0003550716061072316,0.03621730382293763,0.04746123801633329,0.07006746360516038,0.020239081548112204,0.0071014321221446325,0.018108651911468814,0.002840572848857853,0.018463723517576046,0.000946857616285951
51,ENFP,E,N,F,P,0.051249273678094134,0.010923881464264961,0.01557234166182452,0.02463683904706566,0.08773968622893666,0.012899477048227775,0.017431725740848343,0.03753631609529343,0.04636839047065659,0.0012783265543288786,0.00894828588030215,0.028588030214991286,0.024288204532248694,0.04857640906449739,0.053922138291690874,0.01336432306798373,0.0005810575246949448,0.029866356769320163,0.043695525857059846,0.07588611272515979,0.02126670540383498,0.006972690296339338,0.012899477048227775,0.0017431725740848344,0.016966879721092388,0.0008134805345729227
52,INFP,I,N,F,P,0.05485161720573525,0.01300433477825942,0.01617205735245082,0.023507835945315105,0.08986328776258753,0.014338112704234745,0.013671223741247083,0.03384461487162387,0.043514504834944984,0.001333777925975325,0.008336112037345782,0.03667889296432144,0.021673891297099034,0.04151383794598199,0.05801933977992664,0.012670890296765588,0.0006668889629876625,0.03567855951983995,0.04018006002000667,0.07369123041013671,0.022007335778592863,0.0106702234078026,0.018506168722907636,0.0006668889629876625,0.023841280426808935,0.001333777925975325
53,ENTP,E,N,T,P,0.05563363785429843,0.011009604122745374,0.01838838135394706,0.023424689622862496,0.08409463574607637,0.014406184118060435,0.01745139376903256,0.03701100960412274,0.055399390958069804,0.0009369875849144999,0.007847271023658937,0.03291168892012181,0.019910986179433123,0.04977746544858281,0.060435699226985246,0.01276645584446006,0.0012883579292574372,0.034200046849379245,0.04626376200515343,0.0760131178261888,0.02506441789646287,0.0076130241274303114,0.014054813773717497,0.0012883579292574372,0.02178496134926212,0.0010541110330288123
54,INFJ,I,N,F,J,0.05714888232813159,0.012231126107127795,0.01739772247996626,0.02498945592576972,0.09162800506115563,0.01412905946857866,0.013390974272458878,0.036271615352172076,0.04892450442851118,0.001687051876845213,0.0065373260227752005,0.02825811893715732,0.018768452129902996,0.052509489666807255,0.059046815689582456,0.015288907633909743,0.001054407423028258,0.03943483762125685,0.04649936735554618,0.07370307886967524,0.021720792914382118,0.007486292703500633,0.012231126107127795,0.002846900042176297,0.021088148460565163,0.00042176296921130323
